location,date,variant,num_sequences,perc_sequences,num_sequences_total
Argentina,11/5/2020,Alpha,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Beta,0,0,151
Argentina,11/5/2020,Delta,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Gamma,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Omicron,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,0,0,151
Argentina,11/5/2020,Others,151,100,151
Argentina,11/5/2020,Others,151,100,151
Australia,11/5/2020,Alpha,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Beta,0,0,148
Australia,11/5/2020,Delta,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Gamma,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Omicron,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,0,0,148
Australia,11/5/2020,Others,148,100,148
Australia,11/5/2020,Others,148,100,148
Austria,11/5/2020,Alpha,0,0,34
Austria,11/5/2020,Others,0,0,34
Austria,11/5/2020,Others,0,0,34
Austria,11/5/2020,Others,0,0,34
Austria,11/5/2020,Others,0,0,34
