iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BRN,Asia,Brunei,9/3/2020,1,1,,,,,2.245,2.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,10/3/2020,1,0,,,,,2.245,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,11/3/2020,11,10,,,,,24.698,22.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,12/3/2020,11,0,,,,,24.698,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,13/3/2020,37,26,,,,,83.076,58.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,14/3/2020,40,3,5.714,,,,89.812,6.736,12.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,15/3/2020,50,10,7.143,,,,112.265,22.453,16.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,16/3/2020,54,4,7.571,,,,121.247,8.981,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,17/3/2020,56,2,7.857,,,,125.737,4.491,17.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,18/3/2020,68,12,8.143,,,,152.681,26.944,18.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,19/3/2020,75,7,9.143,,,,168.398,15.717,20.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,20/3/2020,78,3,5.857,,,,175.134,6.736,13.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,21/3/2020,83,5,6.143,,,,186.361,11.227,13.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,22/3/2020,88,5,5.429,,,,197.587,11.227,12.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,23/3/2020,91,3,5.286,,,,204.323,6.736,11.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,24/3/2020,104,13,6.857,,,,233.512,29.189,15.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,25/3/2020,109,5,5.857,,,,244.739,11.227,13.151,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,26/3/2020,114,5,5.571,,,,255.965,11.227,12.51,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,27/3/2020,115,1,5.286,,,,258.211,2.245,11.868,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,28/3/2020,120,5,5.286,1,1,,269.437,11.227,11.868,2.245,2.245,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,29/3/2020,126,6,5.429,1,0,,282.909,13.472,12.189,2.245,0,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,30/3/2020,127,1,5.143,1,0,,285.154,2.245,11.547,2.245,0,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,31/3/2020,129,2,3.571,1,0,,289.645,4.491,8.019,2.245,0,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,44,9.98,0.8,98.79359548
BRN,Asia,Brunei,1/4/2020,131,2,3.143,1,0,,294.135,4.491,7.057,2.245,0,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,2/4/2020,133,2,2.714,1,0,0.143,298.626,4.491,6.094,2.245,0,0.321,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,3/4/2020,134,1,2.714,1,0,0.143,300.871,2.245,6.094,2.245,0,0.321,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,4/4/2020,135,1,2.143,1,0,0,303.117,2.245,4.811,2.245,0,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,5/4/2020,135,0,1.286,1,0,0,303.117,0,2.887,2.245,0,0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
BRN,Asia,Brunei,6/4/2020,135,0,1.143,1,0,0,303.117,0,2.566,2.245,0,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,445373,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,,,,
